Date,Open,High,Low,Close,Adj Close,Volume
11/15/21,3537,3593.879883,3525.810059,3545.679932,3545.679932,2929700
11/16/21,3539,3576.5,3525.149902,3540.699951,3540.699951,2217100
11/17/21,3564.719971,3587.25,3545.350098,3549,3549,2560300
11/18/21,3566.350098,3704.199951,3561,3696.060059,3696.060059,5703500
11/19/21,3712.689941,3762.149902,3675.719971,3676.570068,3676.570068,4936700
11/22/21,3676.379883,3713.459961,3567.5,3572.570068,3572.570068,4842200
11/23/21,3585.040039,3621.050049,3527.709961,3580.040039,3580.040039,3690200
11/24/21,3562.669922,3613.639893,3536.850098,3580.409912,3580.409912,2328000
11/26/21,3602.100098,3633.5,3504.149902,3504.560059,3504.560059,2991300
11/29/21,3547.639893,3596,3531.5,3561.570068,3561.570068,3265600
11/30/21,3563.5,3585.77002,3492.01001,3507.070068,3507.070068,4001100
12/1/21,3545,3559.879883,3441.600098,3443.719971,3443.719971,3745800
12/2/21,3460,3492.699951,3423.75,3437.360107,3437.360107,3236300
12/3/21,3455,3469.870117,3338.600098,3389.790039,3389.790039,4035600
12/6/21,3393,3473.909912,3338.689941,3427.370117,3427.370117,3443000
12/7/21,3492,3549.98999,3466.689941,3523.290039,3523.290039,3320500
12/8/21,3523.01001,3543.600098,3495.01001,3523.159912,3523.159912,2262700
12/9/21,3515,3539.389893,3482.790039,3483.419922,3483.419922,2303100
12/10/21,3508.340088,3518.540039,3410,3444.23999,3444.23999,3034500
12/13/21,3440,3442,3382.600098,3391.350098,3391.350098,3108500
12/14/21,3351,3389.97998,3328.800049,3381.830078,3381.830078,2798800
12/15/21,3371.959961,3472,3303.899902,3466.300049,3466.300049,3789700
12/16/21,3467.370117,3483.320068,3363.209961,3377.419922,3377.419922,3043800
12/17/21,3354.209961,3417.969971,3312.27002,3400.350098,3400.350098,4277100
12/20/21,3337,3357.48999,3312,3341.580078,3341.580078,2868600
12/21/21,3357.01001,3414.330078,3312.949951,3408.340088,3408.340088,2797800
12/22/21,3385.399902,3441,3370.01001,3420.73999,3420.73999,2751800
12/23/21,3408.560059,3439.5,3403,3421.370117,3421.370117,1839400
12/27/21,3420.73999,3458.860107,3384.310059,3393.389893,3393.389893,2934400
12/28/21,3403.649902,3443.52002,3382.709961,3413.219971,3413.219971,2731900
12/29/21,3416.800049,3424.23999,3372.01001,3384.02002,3384.02002,1787700
12/30/21,3394,3417.76001,3370.47998,3372.889893,3372.889893,1879200
12/31/21,3379.120117,3387,3331.169922,3334.340088,3334.340088,2391500
1/3/22,3351,3414.070068,3323.209961,3408.090088,3408.090088,3176000
1/4/22,3408.76001,3428,3326.98999,3350.439941,3350.439941,3536300
1/5/22,3337.659912,3342.530029,3287.139893,3287.139893,3287.139893,3215100
1/6/22,3269.01001,3296,3238.73999,3265.080078,3265.080078,2597900
1/7/22,3276.780029,3304.870117,3240.620117,3251.080078,3251.080078,2330300
1/10/22,3211.709961,3233.22998,3126.090088,3229.719971,3229.719971,4389900
1/11/22,3230,3327,3214.030029,3307.23999,3307.23999,3140300
1/12/22,3331.5,3337.560059,3288.340088,3304.139893,3304.139893,2501500
1/13/22,3305.01001,3324.429932,3221.820068,3224.280029,3224.280029,2609400
1/14/22,3203,3245,3196.01001,3242.76001,3242.76001,2298700
1/18/22,3182.100098,3194.689941,3153.290039,3178.350098,3178.350098,3364600
1/19/22,3175.23999,3185,3125,3125.97998,3125.97998,2662100
1/20/22,3135.320068,3160,3027.02002,3033.350098,3033.350098,3598700
1/21/22,2999,3018,2841.409912,2852.860107,2852.860107,8198600
1/24/22,2780,2898.899902,2707.040039,2890.879883,2890.879883,7781200
1/25/22,2844.850098,2872,2762.899902,2799.719971,2799.719971,4541200
1/26/22,2895,2903.699951,2746.370117,2777.449951,2777.449951,4780100
1/27/22,2816,2884.870117,2787,2792.75,2792.75,3875800
1/28/22,2817.209961,2879.959961,2758.590088,2879.560059,2879.560059,3719600
1/31/22,2895,3007.209961,2886.01001,2991.469971,2991.469971,3915400
2/1/22,3000,3034.159912,2952.550049,3023.870117,3023.870117,2961000
2/2/22,3101.01001,3101.5,2977.27002,3012.25,3012.25,4366500
2/3/22,2834.75,2884.949951,2766.659912,2776.909912,2776.909912,11276600
2/4/22,3112.129883,3224,3012.159912,3152.790039,3152.790039,12672800
2/7/22,3170.399902,3253.820068,3145,3158.709961,3158.709961,5131200
2/8/22,3135.01001,3235.850098,3111.01001,3228.27002,3228.27002,3802000
2/9/22,3257.469971,3276.689941,3205,3223.790039,3223.790039,3439300
2/10/22,3167,3214.330078,3155,3180.070068,3180.070068,3413400
2/11/22,3162.689941,3180,3054.679932,3065.870117,3065.870117,3855000
2/14/22,3035.02002,3168.969971,3033,3103.340088,3103.340088,4161500
2/15/22,3152.110107,3160.139893,3092.75,3130.209961,3130.209961,2822000
2/16/22,3115.810059,3176.679932,3094.689941,3162.01001,3162.01001,2635200
2/17/22,3162.919922,3206.97998,3090,3093.050049,3093.050049,3201600
2/18/22,3109.98999,3109.98999,3017.860107,3052.030029,3052.030029,3180200
2/22/22,3009.570068,3059.649902,2969.709961,3003.949951,3003.949951,3306400
2/23/22,3033.01001,3035.26001,2893.02002,2896.540039,2896.540039,3212200
2/24/22,2796.75,3034.97998,2790,3027.159912,3027.159912,5039300
2/25/22,3011,3079.800049,2984.27002,3075.77002,3075.77002,3119800
2/28/22,3048.5,3089,3017,3071.26001,3071.26001,2884200
3/1/22,3054.649902,3081.97998,2999.540039,3022.840088,3022.840088,2243700
3/2/22,3016.97998,3059.98999,2975,3041.050049,3041.050049,2366700
3/3/22,3070.629883,3078.580078,2937.120117,2957.969971,2957.969971,3259900
3/4/22,2943.179932,2957,2876.139893,2912.820068,2912.820068,3046700
3/7/22,2908.870117,2921.889893,2748.330078,2749.060059,2749.060059,4346700
3/8/22,2733.669922,2813.98999,2671.449951,2720.290039,2720.290039,4583100
3/9/22,2790,2805,2736.560059,2785.580078,2785.580078,4132800
3/10/22,2913.699951,2973.48999,2879.560059,2936.350098,2936.350098,6753100
3/11/22,2991.48999,2993.5,2907.379883,2910.48999,2910.48999,3445000
3/14/22,2919.620117,2949,2817.679932,2837.060059,2837.060059,3704300
3/15/22,2857,2959.699951,2840,2947.330078,2947.330078,3779200
3/16/22,2970,3063,2947.070068,3062.080078,3062.080078,4247900
3/17/22,3052.810059,3149.969971,3042.800049,3144.780029,3144.780029,3646700
3/18/22,3136.26001,3231.879883,3120.219971,3225.01001,3225.01001,5148100
3/21/22,3222.419922,3261.679932,3191.060059,3229.830078,3229.830078,3326900
3/22/22,3236.110107,3323.340088,3233.97998,3297.780029,3297.780029,3204300
3/23/22,3274.100098,3327.399902,3253.73999,3268.159912,3268.159912,2790600
3/24/22,3274.98999,3282.370117,3201,3272.98999,3272.98999,2839900
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
